county,dem_votes,rep_votes,total_votes,year,office,state
Lewis,10673.0,24099.0,34772.0,2022,sen,WA
Lincoln,1259.0,4223.0,5482.0,2022,sen,WA
Mason,12694.0,15341.0,28035.0,2022,sen,WA
Okanogan,6542.0,9708.0,16250.0,2022,sen,WA
Pacific,4994.0,5701.0,10695.0,2022,sen,WA
Pend Oreille,1906.0,4697.0,6603.0,2022,sen,WA
Pierce,183404.0,162127.0,345531.0,2022,sen,WA
San Juan,7149.0,2507.0,9656.0,2022,sen,WA
Skagit,28118.0,26863.0,54981.0,2022,sen,WA
Skamania,2346.0,3185.0,5531.0,2022,sen,WA
Snohomish,188713.0,136461.0,325174.0,2022,sen,WA
Spokane,99797.0,121824.0,221621.0,2022,sen,WA
Stevens,5762.0,16241.0,22003.0,2022,sen,WA
Thurston,71013.0,53523.0,124536.0,2022,sen,WA
Wahkiakum,856.0,1428.0,2284.0,2022,sen,WA
Walla Walla,10063.0,13447.0,23510.0,2022,sen,WA
Whatcom,61496.0,41398.0,102894.0,2022,sen,WA
Whitman,8221.0,7434.0,15655.0,2022,sen,WA
Yakima,31740.0,41452.0,73192.0,2022,sen,WA
Adams,1455.0,3767.0,5345.0,2024,pres,WA
Asotin,4082.0,7004.0,11396.0,2024,pres,WA
Benton,37662.0,59555.0,99947.0,2024,pres,WA
Chelan,18397.0,22363.0,41893.0,2024,pres,WA
Clallam,25440.0,21632.0,48390.0,2024,pres,WA
Clark,143206.0,123998.0,274795.0,2024,pres,WA
Columbia,661.0,1737.0,2476.0,2024,pres,WA
Cowlitz,22825.0,34580.0,59020.0,2024,pres,WA
Douglas,7410.0,13095.0,21069.0,2024,pres,WA
Ferry,1315.0,2667.0,4096.0,2024,pres,WA
Franklin,11884.0,19086.0,31739.0,2024,pres,WA
Garfield,330.0,973.0,1343.0,2024,pres,WA
Grant,10806.0,24326.0,36069.0,2024,pres,WA
Grays Harbor,17161.0,19432.0,37638.0,2024,pres,WA
Island,29595.0,20967.0,52075.0,2024,pres,WA
Jefferson,17459.0,6324.0,24572.0,2024,pres,WA
King,832606.0,252193.0,1122881.0,2024,pres,WA
Kitsap,91731.0,59080.0,155893.0,2024,pres,WA
Kittitas,10810.0,14645.0,26309.0,2024,pres,WA
Klickitat,5917.0,7178.0,13527.0,2024,pres,WA
Lewis,14433.0,29322.0,45112.0,2024,pres,WA
Lincoln,1678.0,5272.0,7107.0,2024,pres,WA
Mason,17215.0,18127.0,36502.0,2024,pres,WA
Okanogan,8466.0,11555.0,20617.0,2024,pres,WA
Pacific,6825.0,7010.0,14178.0,2024,pres,WA
Pend Oreille,2461.0,5826.0,8497.0,2024,pres,WA
Pierce,235169.0,188194.0,436685.0,2024,pres,WA
San Juan,9539.0,2890.0,12939.0,2024,pres,WA
Skagit,36956.0,30765.0,69837.0,2024,pres,WA
Skamania,3147.0,3961.0,7314.0,2024,pres,WA
Snohomish,240099.0,161371.0,415327.0,2024,pres,WA
Spokane,131163.0,145338.0,284958.0,2024,pres,WA
Stevens,7492.0,19895.0,28095.0,2024,pres,WA
Thurston,95663.0,62282.0,163637.0,2024,pres,WA
Wahkiakum,1204.0,1757.0,3053.0,2024,pres,WA
Walla Walla,13106.0,15476.0,29373.0,2024,pres,WA
Whatcom,83295.0,49213.0,137006.0,2024,pres,WA
Whitman,10480.0,8699.0,19845.0,2024,pres,WA
Yakima,36706.0,49368.0,88280.0,2024,pres,WA
