county,dem_votes,rep_votes,total_votes,year,office,state,cvap_approx,dem_voteshare,turnout
Fresno,151628,165924,325994,2024,President,CA,610092,0.47749030080112864,0.5343358050916911
Glenn,3260,6904,10442,2024,President,CA,17734,0.32073986619441164,0.5888124506597496
Humboldt,39800,21559,64228,2024,President,CA,110670,0.6486416010691178,0.5803560133730912
Imperial,26083,26546,54025,2024,President,CA,107751,0.49560128446293866,0.5013874581210384
Inyo,4201,4468,8951,2024,President,CA,14343,0.4846002999192525,0.6240674893676358
Kern,108241,167879,283246,2024,President,CA,541422,0.39200709836303055,0.5231519960400575
Kings,15519,25074,41501,2024,President,CA,97692,0.38230729436109673,0.4248147238259018
Lake,12794,13161,26759,2024,President,CA,50190,0.49293007127721056,0.533154014743973
Lassen,2478,8619,11371,2024,President,CA,26402,0.22330359556636928,0.4306870691614272
Los Angeles,2417109,1189862,3728427,2024,President,CA,6585994,0.6701215507416056,0.5661145455036856
Madera,20981,32344,54624,2024,President,CA,95860,0.393455227379278,0.5698310035468391
Marin,116152,24054,144113,2024,President,CA,193772,0.8284381552857938,0.7437245835311603
Mariposa,3622,5625,9509,2024,President,CA,14700,0.39169460365523956,0.6468707482993197
Mendocino,24049,13528,39216,2024,President,CA,64832,0.6399925486334727,0.6048864758144127
Merced,40190,43955,86392,2024,President,CA,156571,0.4776279042129657,0.5517752329614041
Modoc,1008,2884,4016,2024,President,CA,7072,0.2589928057553957,0.5678733031674208
Mono,3522,2294,6064,2024,President,CA,10185,0.6055708390646493,0.5953853706431026
Monterey,93060,49226,146718,2024,President,CA,242251,0.6540348312553589,0.6056445587427916
Napa,43212,20357,65549,2024,President,CA,99634,0.6797652944045054,0.6578979063371941
Nevada,33784,26177,62132,2024,President,CA,82876,0.5634328980503994,0.7496983445146966
Orange,691731,654815,1390965,2024,President,CA,2143916,0.5137076639045379,0.6487964080682266
Placer,103958,123941,234809,2024,President,CA,294824,0.4561582104353244,0.7964378747998806
Plumas,4020,5725,10067,2024,President,CA,16002,0.4125192406362237,0.6291088613923259
Riverside,451782,463677,940405,2024,President,CA,1598247,0.4935032590208846,0.5883977883268355
Sacramento,381564,252140,656626,2024,President,CA,1078928,0.6021170767424538,0.6085911200747408
San Benito,15179,11702,27649,2024,President,CA,39060,0.5646739332614114,0.7078597030209933
San Bernardino,362114,378416,761714,2024,President,CA,1415211,0.48899301851376714,0.5382335213618322
San Diego,841372,593270,1477786,2024,President,CA,2349176,0.5864682617684411,0.6290656809025803
San Francisco,323719,62594,402964,2024,President,CA,678872,0.8379707646390362,0.5935787600608068
San Joaquin,126647,128996,263671,2024,President,CA,471424,0.4954057024835415,0.5593075448004344
San Luis Obispo,81314,64932,150766,2024,President,CA,227866,0.5560083694596776,0.6616432464694162
San Mateo,242957,76616,330510,2024,President,CA,523047,0.7602550903862342,0.6318935009664524
Santa Barbara,114149,64870,184715,2024,President,CA,295785,0.6376362285567454,0.6244907618709535
Santa Clara,510744,210924,750433,2024,President,CA,1228757,0.7077270988875771,0.6107253102118645
Santa Cruz,100998,27978,134135,2024,President,CA,200377,0.7830759211016003,0.669413156200562
Shasta,27130,59539,88900,2024,President,CA,142816,0.3130300338067821,0.622479274030921
Sierra,641,1066,1754,2024,President,CA,2572,0.37551259519625074,0.6819595645412131
Siskiyou,8329,12461,21489,2024,President,CA,35474,0.4006253006253006,0.6057676044426904
Solano,113997,70345,189834,2024,President,CA,321368,0.6183994965878639,0.590705981927261
Sonoma,179600,63426,251426,2024,President,CA,373821,0.7390155785800696,0.6725839372319907
Stanislaus,85347,106986,197472,2024,President,CA,351766,0.44374600302600176,0.5613731855835982
Sutter,13016,25372,39336,2024,President,CA,63919,0.33906429092424717,0.6154038705236314
Tehama,7415,18503,26532,2024,President,CA,47481,0.2860946060652828,0.5587919378277627
Trinity,2449,2979,5645,2024,President,CA,10873,0.45117907148120856,0.5191759404028327
Tulare,53221,81854,138271,2024,President,CA,265519,0.39401073477697574,0.5207574599181226
Tuolumne,10909,17210,28810,2024,President,CA,46347,0.38795831999715497,0.621615207025266
Ventura,217424,158901,387595,2024,President,CA,585769,0.5777559290506876,0.6616857498433683
Yolo,61405,27844,92589,2024,President,CA,151751,0.6880189133771807,0.6101376597188816
Yuba,10725,18491,30070,2024,President,CA,52689,0.3670933734939759,0.5707073582721252
Beaver,357,2695,3100,2020,President,UT,4471,0.11697247706422019,0.6933571907850593
Box Elder,4473,21548,27027,2020,President,UT,37843,0.1718996195380654,0.7141875644108554
Cache,16650,38032,57571,2020,President,UT,86270,0.3044877656267145,0.6673351106989683
Carbon,2392,6693,9369,2020,President,UT,15741,0.26329113924050634,0.5951972555746141
Daggett,111,496,619,2020,President,UT,513,0.1828665568369028,1.206627680311891
Davis,57411,104135,169895,2020,President,UT,240170,0.3553848439453778,0.7073947620435524
Duchesne,843,7513,8524,2020,President,UT,13991,0.10088559119195788,0.6092488028018012
Emery,572,4207,4865,2020,President,UT,7560,0.11969031178070726,0.6435185185185185
Garfield,514,2158,2732,2020,President,UT,3947,0.19236526946107785,0.6921712693184697
Grand,2806,2248,5185,2020,President,UT,7522,0.5552037989711119,0.6893113533634672
Iron,4892,18989,24890,2020,President,UT,36704,0.20484904317239647,0.6781277244986922
Juab,645,5087,5866,2020,President,UT,7538,0.11252616887648291,0.778190501459273
Kane,1083,2998,4180,2020,President,UT,6070,0.2653761333006616,0.6886326194398682
