state,county,county_id,year,prim_or_gen,pres,treat,cvap,ballots_cast,ballots_cast_dem_pres,ballots_cast_rep_pres,dem_share_pres,dem_share_gov,dem_share_sen,ballots_cast_dem_gov,ballots_cast_rep_gov,turnout_share,year2,state_year
CA,Siskiyou,47,2022,general,0,0,33874,17723.0,,,,0.356937313095977,,6326.0,11397.0,0.5232036370077345,4088484,CA_2022
CA,Siskiyou,47,2024,general,1,0,33874,21498.0,8329.0,12461.0,0.4006253006253006,,,,,0.6346460412115487,4096576,CA_2024
CA,Solano,48,2020,general,1,0,316980,205877.0,131639.0,69306.0,0.6550996541342158,,,,,0.6494952362925106,4080400,CA_2020
CA,Solano,48,2022,general,0,0,316980,130619.0,,,,0.5953881135210038,,77769.0,52850.0,0.41207331692851284,4088484,CA_2022
CA,Solano,48,2024,general,1,0,316980,189883.0,113997.0,70345.0,0.6183994965878639,,,,,0.5990377941825983,4096576,CA_2024
CA,Sonoma,49,2020,general,1,0,352389,268317.0,199938.0,61825.0,0.7638130675458334,,,,,0.7614227458859385,4080400,CA_2020
CA,Sonoma,49,2022,general,0,1,352389,197454.0,,,,0.7092335430024208,,140041.0,57413.0,0.5603296357150762,4088484,CA_2022
CA,Sonoma,49,2024,general,1,1,352389,251465.0,179600.0,63426.0,0.7390155785800696,,,,,0.7136005947972269,4096576,CA_2024
CA,Stanislaus,50,2020,general,1,0,349960,214954.0,105841.0,104145.0,0.5040383644623927,,,,,0.6142244827980341,4080400,CA_2020
CA,Stanislaus,50,2022,general,0,1,349960,130967.0,,,,0.4223277619553017,,55311.0,75656.0,0.3742341981940793,4088484,CA_2022
CA,Stanislaus,50,2024,general,1,1,349960,197525.0,85347.0,106986.0,0.44374600302600176,,,,,0.5644216481883644,4096576,CA_2024
CA,Sutter,51,2020,general,1,0,64188,42644.0,17367.0,24375.0,0.41605577116573234,,,,,0.6643609397395152,4080400,CA_2020
CA,Sutter,51,2022,general,0,0,64188,28106.0,,,,0.32313385042339715,,9082.0,19024.0,0.4378700068548638,4088484,CA_2022
CA,Sutter,51,2024,general,1,0,64188,39339.0,13016.0,25372.0,0.33906429092424717,,,,,0.6128715647784633,4096576,CA_2024
CA,Tehama,52,2020,general,1,0,45658,28731.0,8911.0,19141.0,0.317660059888778,,,,,0.6292654080336414,4080400,CA_2020
CA,Tehama,52,2022,general,0,0,45658,20631.0,,,,0.24351703746788814,,5024.0,15607.0,0.4518594769810329,4088484,CA_2022
CA,Tehama,52,2024,general,1,0,45658,26536.0,7415.0,18503.0,0.2860946060652828,,,,,0.5811905909150642,4096576,CA_2024
CA,Trinity,53,2020,general,1,0,12915,6259.0,2851.0,3188.0,0.4720980294750787,,,,,0.4846302748741773,4080400,CA_2020
CA,Trinity,53,2022,general,0,0,12915,4527.0,,,,0.41086812458581845,,1860.0,2667.0,0.3505226480836237,4088484,CA_2022
CA,Trinity,53,2024,general,1,0,12915,5646.0,2449.0,2979.0,0.45117907148120856,,,,,0.43716608594657375,4096576,CA_2024
CA,Tulare,54,2020,general,1,0,273831,146885.0,66105.0,77579.0,0.4600721026697475,,,,,0.53640749221235,4080400,CA_2020
CA,Tulare,54,2022,general,0,0,273831,91326.0,,,,0.36433217265619866,,33273.0,58053.0,0.33351227581975745,4088484,CA_2022
CA,Tulare,54,2024,general,1,0,273831,138309.0,53221.0,81854.0,0.39401073477697574,,,,,0.505088905200653,4096576,CA_2024
CA,Tuolumne,55,2020,general,1,1,44316,30408.0,11978.0,17689.0,0.40374827249132034,,,,,0.686163011102085,4080400,CA_2020
CA,Tuolumne,55,2022,general,0,1,44316,23230.0,,,,0.3646577701248386,,8471.0,14759.0,0.5241899088365376,4088484,CA_2022
CA,Tuolumne,55,2024,general,1,1,44316,28816.0,10909.0,17210.0,0.38795831999715497,,,,,0.6502391912627493,4096576,CA_2024
CA,Ventura,56,2020,general,1,0,573446,422825.0,251388.0,162207.0,0.6078119899902078,,,,,0.7373405691207193,4080400,CA_2020
