state,county,county_fips,year,dem_share_pres,total_votes_pres,dem_share_gov,total_votes_gov,dem_share_sen,total_votes_sen,vca_adopted,vca_year,vca_first_year,fips,cvap_2020,treat,treat_new_ca,turnout_pres,turnout_gov,turnout_sen,state_year,county_id
California,STANISLAUS,6099,2020,0.4925678065488933,214876.0,,,,,1.0,2022.0,2022.0,0500000US06099,343780,0,0,0.6250392693001338,,,California_2020,California_STANISLAUS
California,STANISLAUS,6099,2022,,,0.4223277619553017,130967.0,,,1.0,2022.0,2022.0,0500000US06099,343780,1,1,,0.3809616615277212,,California_2022,California_STANISLAUS
California,STANISLAUS,6099,2024,0.43219798249878466,197472.0,,,,,1.0,2022.0,2022.0,0500000US06099,343780,1,1,0.5744138693350399,,,California_2024,California_STANISLAUS
California,SUTTER,6101,2020,0.4072936210131332,42640.0,,,,,0.0,,9999.0,0500000US06101,62115,0,0,0.6864686468646864,,,California_2020,California_SUTTER
California,SUTTER,6101,2022,,,0.32313385042339715,28106.0,,,0.0,,9999.0,0500000US06101,62115,0,0,,0.4524832971101988,,California_2022,California_SUTTER
California,SUTTER,6101,2024,0.33089282082570676,39336.0,,,,,0.0,,9999.0,0500000US06101,62115,0,0,0.6332769862352089,,,California_2024,California_SUTTER
California,TEHAMA,6103,2020,0.3102607847916159,28721.0,,,,,0.0,,9999.0,0500000US06103,46450,0,0,0.6183207750269106,,,California_2020,California_TEHAMA
California,TEHAMA,6103,2022,,,0.24351703746788814,20631.0,,,0.0,,9999.0,0500000US06103,46450,0,0,,0.4441550053821313,,California_2022,California_TEHAMA
California,TEHAMA,6103,2024,0.2794738429066787,26532.0,,,,,0.0,,9999.0,0500000US06103,46450,0,0,0.5711948331539289,,,California_2024,California_TEHAMA
California,TRINITY,6105,2020,0.45557686161713007,6258.0,,,,,0.0,,9999.0,0500000US06105,10260,0,0,0.6099415204678362,,,California_2020,California_TRINITY
California,TRINITY,6105,2022,,,0.41086812458581845,4527.0,,,0.0,,9999.0,0500000US06105,10260,0,0,,0.4412280701754386,,California_2022,California_TRINITY
California,TRINITY,6105,2024,0.43383525243578386,5645.0,,,,,0.0,,9999.0,0500000US06105,10260,0,0,0.5501949317738791,,,California_2024,California_TRINITY
California,TULARE,6107,2020,0.45020840143837854,146832.0,,,,,0.0,,9999.0,0500000US06107,261090,0,0,0.5623807882339423,,,California_2020,California_TULARE
