state_name,county_fips,county_name,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff,year
Washington,53055,San Juan County,3057,9725,13197,-6668.0,0.2316435553534894,0.7369099037660074,-0.5052663484125179,2020
Washington,53057,Skagit County,32762,38252,73423,-5490.0,0.4462089535976465,0.5209811639404546,-0.074772210342808,2020
Washington,53059,Skamania County,3885,3192,7312,693.0,0.5313183807439825,0.4365426695842451,0.0947757111597374,2020
Washington,53061,Snohomish County,166428,256728,438796,-90300.0,0.3792833116072161,0.5850737016745823,-0.2057903900673661,2020
Washington,53063,Spokane County,148576,135765,295430,12811.0,0.5029143959652033,0.4595504857326609,0.0433639102325423,2020
Washington,53065,Stevens County,19808,7839,28430,11969.0,0.6967288075976081,0.2757298628209638,0.4209989447766443,2020
Washington,53067,Thurston County,65277,96608,168134,-31331.0,0.3882439006982526,0.5745893156648864,-0.1863454149666337,2020
Washington,53069,Wahkiakum County,1741,1165,2981,576.0,0.5840322039584033,0.3908084535390808,0.1932237504193224,2020
Washington,53071,Walla Walla County,16400,13690,31261,2710.0,0.5246153354019385,0.4379258501007645,0.0866894853011739,2020
Washington,53073,Whatcom County,50489,83660,138620,-33171.0,0.3642259414225941,0.6035204155244553,-0.2392944741018612,2020
Washington,53075,Whitman County,9067,11184,21126,-2117.0,0.4291867840575594,0.529395058222096,-0.1002082741645365,2020
Washington,53077,Yakima County,50555,43179,96193,7376.0,0.5255579927853378,0.4488788165459025,0.0766791762394352,2020
California,6001,Alameda County,140789,499551,669800,-358762.0,0.2101955807703792,0.7458211406389967,-0.5356255598686175,2024
California,6003,Alpine County,243,479,738,-236.0,0.3292682926829268,0.6490514905149052,-0.3197831978319783,2024
California,6005,Amador County,14018,7783,22402,6235.0,0.6257477010981163,0.3474243371127578,0.2783233639853585,2024
California,6007,Butte County,47179,44228,94523,2951.0,0.4991271965553357,0.4679072818255874,0.0312199147297482,2024
California,6009,Calaveras County,16625,9181,26479,7444.0,0.6278560368593981,0.3467275954530004,0.2811284414063976,2024
California,6011,Colusa County,4414,2431,7021,1983.0,0.6286853724540664,0.3462469733656174,0.282438399088449,2024
California,6013,Contra Costa County,155308,356008,528904,-200700.0,0.2936411900836446,0.6731051381725228,-0.3794639480888782,2024
California,6015,Del Norte County,5999,4266,10564,1733.0,0.5678720181749337,0.4038243089738735,0.1640477092010601,2024
California,6017,El Dorado County,61109,47703,111890,13406.0,0.5461524711770489,0.4263383680400393,0.1198141031370095,2024
California,6019,Fresno County,165924,151628,325994,14296.0,0.5089786928593778,0.4651251250023006,0.0438535678570771,2024
California,6021,Glenn County,6904,3260,10442,3644.0,0.6611760199195557,0.3122007278299176,0.348975292089638,2024
